id,collection,dc.contributor.author,dc.date.issued,dc.description[en],dc.format.extent,dc.format.mimetype,dc.identifier.citation[en],dc.identifier.uri,dc.language.iso[en],dc.publisher[en],dc.relation.ispartofseries,dc.relation.ispartofseries[en],dc.rights[en],dc.subject[en],dc.title[en],dc.type[en]
"28604","2451/28115","Bagnall, Roger S.||Ruffini, G.","2004",,"636894 bytes","application/pdf","Roger S. Bagnall and G. Ruffini, ""Civic Life in Fourth Century Trimithis,"" ZPE 149 (2004) 143-152","http://hdl.handle.net/2451/28275","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D187",,"Epigraphy||Egypt, late antiquity","Civic Life in Fourth Century Trimithis","Article"
"28595","2451/28115","Bagnall, Roger S.||Wendrich, W. Z.||Tomber, R.S.||Sidebotham, S.E.||Harrell, J.A.||Cappers, R.T.J.","2006",,"2542218 bytes","application/pdf","Roger S. Bagnall, W. Z. Wenrich et al. . ""Berenike Crossroads: The Integration of Information,"" JESHO 46 (2003) 46-87 (reprinted in N. Yoffee and B. L. Crowell, Excavating Asian History (Tucson 2006) 15-66","http://hdl.handle.net/2451/28266","en_US","Brill, Leiden",,"D175",,"Maritime trade||Roman Egypt","Berenike Crossroads: The Integration of Information","Article"
"28602","2451/28115","Bagnall, Roger S.||Choat, Malcolm||Gardner, I.","2004",,"225642 bytes","application/pdf","Roger S. Bagnall, M. Choat, and I. Gardner, ""O.Douch I 40,"" ZPE 147 (2004) 205-207","http://hdl.handle.net/2451/28273","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D185",,"Epigraphy||Egypt","O.Douch I 40","Article"
"28596","2451/28115","Bagnall, Roger S.||Gonis, N.","2006",,"1645869 bytes","application/pdf","Roger S. Bagnall and N. Gonis, ""An Early Fragment of the Greek Apophthegmata Patrum,"" Archiv für Religionsgeschichte 5 (2003) 260-278","http://hdl.handle.net/2451/28267","en_US","Archiv für Religionsgeschichte",,"D176",,"Papyrology||Roman Egypt","An Early Fragment of the Greek Apophthegmata Patrum","Article"
"28471","2451/28115","Bagnall, Roger S.","1978",,"572812 bytes","application/pdf","Roger S. Bagnall, ""Notes on Egyptian and Greek Ostraka,"" Enchoria 8 (1978) 143-50","http://hdl.handle.net/2451/28146","en_US","Enchoria: Zeitschrift fur Demotistik und Koptologie",,"D31",,"Egypt||Demotic and Greek Ostraka","Notes on Egyptian and Greek Ostraka","Article"
"28597","2451/28115","Bagnall, Roger S.||Harrell, James","2003-01-01",,"557237 bytes","application/pdf","Roger S. Bagnall and James Harrell, ""Knekites,"" Cd'E 78 (2003) 229-235","http://hdl.handle.net/2451/28268","en_US","Chronique d’Égypte",,"D179",,"Epigraphy||Roman Egypt","Knekites","Article"
"28473","2451/28115","Bagnall, Roger S.","1978",,"1320858 bytes","application/pdf","Roger S. Bagnall, ""The Number and Term of the Dekaprotoi,"" Aegyptus 58 (1978) 160-67","http://hdl.handle.net/2451/28148","en_US","Aegyptus",,"D33",,"Papyrology||Egypt, late antiquity","The Number and Term of the Dekaprotoi","Article"
"28599","2451/28115","Bagnall, Roger S.||Worp, K. A.","2003-01-01",,"1209445 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""P.Princ. II 84 Revised,"" BASP 40 (2003) 11-26","http://hdl.handle.net/2451/28270","en_US","Bulletin of the American Society of Papyrologists",,"D182",,"Papyrology||Egypt, late antiquity","P.Princ. II 84 Revised","Article"
"28598","2451/28115","Bagnall, Roger S.","2003-01-01",,"1139030 bytes","application/pdf","Roger S. Bagnall, ""Rôles publics et privés dans l'économie impériale: Nouvelles découvertes provenant du Désert oriental en Egypte romaine,"" in J.-J. Aubert, ed., Tâches publiques et entreprise privée dans le monde romain (Geneva 2003) 289-303","http://hdl.handle.net/2451/28269","fr","Neuchâtel Univ. de Neuchâtel, Fac. des Lettres et Sciences Humaines",,"D180",,"Epigraphy||Roman Egypt","Rôles publics et privés dans l'économie impériale: Nouvelles découvertes provenant du Désert oriental en Egypte romaine","Article"
"28472","2451/28115","Bagnall, Roger S.||Worp, K. A.","1978",,"1052850 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""The Consuls of A.D. 411-412,"" Mnemosyne 31 (1978) 287-93","http://hdl.handle.net/2451/28147","en_US","Mnemosyne, Brill","D32",,,"Roman Empire||Consuls||Late antiquity","The Consuls of A.D. 411-412","Article"
"28474","2451/28115","Bagnall, Roger S.||Worp, K. A.","1978",,"1404136 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""Chronological Notes on Byzantine Documents I,"" BASP 15 (1978) 233-46","http://hdl.handle.net/2451/28149","en_US","Bulletin of the American Society of Papyrologists",,"D34",,"Papyrology||Egypt, Byzantium","Chronological Notes on Byzantine Documents I","Article"
"28603","2451/28115","Bagnall, Roger S.||Worp, K. A.","2004",,"360865 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""Dating the Coptic Legal Documents from Aphrodite,"" ZPE 148 (2004) 247-252","http://hdl.handle.net/2451/28274","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D186",,"Papyrology||Egypt, late antiquity","Dating the Coptic Legal Documents from Aphrodite","Article"
"28606","2451/28115","Bagnall, Roger S.","2004",,"1158598 bytes","application/pdf","Roger S. Bagnall, ""Women's Petitions in Late Antique Egypt,"" in La pétition à Byzance, ed. D. Feissel and J. Gascou (Paris 2004) 53-60","http://hdl.handle.net/2451/28277","en_US","Association des amis du Centre d'histoire et civilisation de Byzance",,"D189",,"Papyrology||Byzantine Egypt","Women's Petitions in Late Antique Egypt","Article"
"28607","2451/28115","Bagnall, Roger S.","2005",,"725983 bytes","application/pdf","Roger S. Bagnall, ""Evidence and Models for the Economy of Roman Egypt,"" in The Ancient Economy: Evidence and Models, ed. Ian Morris and J. G. Manning (Stanford 2005) 187-204","http://hdl.handle.net/2451/28278","en_US","Stanford University Press",,"D190",,"Economy||Roman Egypt","Evidence and Models for the Economy of Roman Egypt","Article"
"28475","2451/28115","Bagnall, Roger S.","1976",,"1138932 bytes","application/pdf","Roger S. Bagnall, ""Archagathos, Epistates of Libya,"" Philologus 120 (1976) 195-209","http://hdl.handle.net/2451/28150","en_US","Philologus",,"D17",,"Papyrology||Hellenistic Egypt","Archagathos, Epistates of Libya","Article"
"28605","2451/28115","Bagnall, Roger S.","2004",,"405288 bytes","application/pdf","Roger S. Bagnall, ""The Last Donkey Sacrifice at Deir el-Bahari,"" JJP 34 (2004) 15-21","http://hdl.handle.net/2451/28276","en_US","Journal of Juristic Papyrology",,"D188",,"Epigraphy||Egypt, late antiquity","The Last Donkey Sacrifice at Deir el-Bahari","Article"
"28476","2451/28115","Bagnall, Roger S.||Thomas, J. D.","1979",,"327268 bytes","application/pdf","Roger S. Bagnall and J. D. Thomas, ""Dekaprotoi and Epigraphai,"" BASP 16 (1979) 185-89","http://hdl.handle.net/2451/28151","en_US","Bulletin of the American Society of Papyrologists",,"D35",,"Papyrology||Egypt, late antiquity","Dekaprotoi and Epigrapha","Article"
"28477","2451/28115","Bagnall, Roger S.","1979",,"392469 bytes","application/pdf","Roger S. Bagnall, ""Ostraka from the Yale Collection,"" BASP 16 (1979) 3-11","http://hdl.handle.net/2451/28152","en_US",,,"D36",,"Ostraka||Egypt, late antiquity","Ostraka from the Yale Collectio","Article"
"28608","2451/28115","Bagnall, Roger S.","2005",,"705997 bytes","application/pdf","Roger S. Bagnall, ""Village and City: Geographies of Power in Byzantine Egypt,"" Les villages dans l'empire Byzantin (Realités Byzantines, Lethielleux, Paris 2005) 553-65","http://hdl.handle.net/2451/28279","en_US","Lethielleux, Paris",,"D193",,"Economy||Byzantine Egypt","Village and City: Geographies of Power in Byzantine Egypt","Article"
"28478","2451/28115","Bagnall, Roger S.||Worp, K. A.","1979",,"2402692 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""Chronological Notes on Byzantine Documents II,"" BASP 15 16 (1979) 221-37","http://hdl.handle.net/2451/28153","en_US","Bulletin of the American Society of Papyrologists",,"D39",,"Papyrology||Byzantine Egypt","Chronological Notes on Byzantine Documents II","Article"
"28609","2451/28115","Bagnall, Roger S.||Cribiore, R.||Renner, T.","2005",,"283761 bytes","application/pdf","Roger S. Bagnall, R. Cribiore, and T. Renner, ""A Coptic Letter from Two Women,"" Studi di Egittologia e di Papirologia 2 (2005) 33-35 (with )","http://hdl.handle.net/2451/28280","en_US","Studi di Egittologia e di Papirologia",,"D194",,"Byzantine Egypt","A Coptic Letter from Two Women","Article"
"28479","2451/28115","Bagnall, Roger S.||Worp, K. A.","1979",,"2134484 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""Chronological Notes on Byzantine Documents III,"" BASP 15 16 (1979) 239-47","http://hdl.handle.net/2451/28154","en_US","Bulletin of the American Society of Papyrologists",,"D40",,"Papyrology||Byzantine Egypt","Chronological Notes on Byzantine Documents III","Article"
"28612","2451/28115","Bagnall, Roger S.||Davoli, P.||Kaper, O.||Whitehouse, H.","2006-12",,"5628686 bytes","application/pdf","Roger S. Bagnall, P. Davoli, O. Kaper, and H. Whitehouse, ""Roman Amheida: Excavating a Town in Egypt's Dakhleh Oasis,"" Minerva (Nov./Dec. 2006) 26-29","http://hdl.handle.net/2451/28281","en_US","Minerva",,"D198",,"Dakhleh Oasis||Roman Egypt","Roman Amheida: Excavating a Town in Egypt's Dakhleh Oasis","Article"
"28619","2451/28115","Bagnall, Roger S.","2008",,"147416 bytes","application/pdf","Roger S. Bagnall, “SB 6.9025, Cotton, and the Economy of the Small Oasis,” BASP 45 (2008) 21-30","http://hdl.handle.net/2451/28287","en_US","Bulletin of the American Society of Papyrologists",,"D208",,"Economy||Roman Egypt","SB 6.9025, Cotton, and the Economy of the Small Oasis","Article"
"28481","2451/28115","Bagnall, Roger S.||Worp, K. A.","1979",,"287055 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “Papyrus Documentation in Egypt from Justinian to Heraclius,” Bulletin of the Egyptological Seminar 1 (1979) 5-10","http://hdl.handle.net/2451/28155","en_US","Bulletin of the Egyptological Seminar",,"D42",,"Papyrology||Byzantine Egypt","Papyrus Documentation in Egypt from Justinian to Heraclius","Article"
"28614","2451/28115","Bagnall, Roger S.","2007",,"114574 bytes","application/pdf","Roger S. Bagnall, “Charles Bradford Welles,” in M. Capasso, ed., Hermae: Scholars and Scholarship in Papyrology (Pisa 2007) 283-86","http://hdl.handle.net/2451/28282","en_US","Giardini, Pisa",,"D201",,"Papyrology||Biography","Charles Bradford Welles","Article"
"28484","2451/28115","Bagnall, Roger S.","1980",,"1769941 bytes","application/pdf","Roger S. Bagnall, “P.Oxy. XVI 1905, SB V 7756, and Fourth Century Taxation,” ZPE 37 (1980) 185-96","http://hdl.handle.net/2451/28158","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D46",,"Papyrology||Egypt, late antiquity","P.Oxy. XVI 1905, SB V 7756, and Fourth Century Taxation","Article"
"28482","2451/28115","Bagnall, Roger S.||Worp, K. A.","1979",,"145178 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “Three Regnal Dates Assigned to 310/311,” Bulletin of the Egyptological Seminar 1 (1979) 11-13","http://hdl.handle.net/2451/28156","en_US","Bulletin of the Egyptological Seminar",,"D43",,"Papyrology||Egypt, late antiquity","Three Regnal Dates Assigned to 310/311","Article"
"28615","2451/28115","Bagnall, Roger S.||Mikhail, Gabriel||Sidebotham, Steven E.||Harrell, James","2007",,"2077838 bytes","application/pdf","Roger S. Bagnall and S.E. Sidebotham et al. “A Water Temple at Bir Abu Safa (Eastern Desert),” JARCE  41 (2004 [2007]) 149-59","http://hdl.handle.net/2451/28283","en_US","Journal of the American Research Center in Egypt",,"D202",,"Eastern Desert||Egypt","A Water Temple at Bir Abu Safa (Eastern Desert)","Article"
"28616","2451/28115","Bagnall, Roger S.","2007",,"543526 bytes","application/pdf","Roger S. Bagnall, “Reflections on the Greek of the Narmouthis Ostraka,” in M. Capasso and P. Davoli, ed., New Archaeological and Papyrological Researches on the Fayyum (Pap.Lup. 14, 2005 [2007]) 13-20","http://hdl.handle.net/2451/28284","en_US","Congedo Editore",,"D204",,"Epigraphy||Egypt","Reflections on the Greek of the Narmouthis Ostraka","Article"
"28483","2451/28115","Bagnall, Roger S.||Worp, K. A.","1979",,"1155410 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “Chronological Reckoning in Byzantine Egypt,” GRBS 20 (1979) 279-95","http://hdl.handle.net/2451/28157","en_US","Greek, Roman, and Byzantine Studies",,"D44",,"Papyrology||Byzantine Egypt","Chronological Reckoning in Byzantine Egypt","Article"
"28617","2451/28115","Bagnall, Roger S.","2008",,"274173 bytes","application/pdf","Roger S. Bagnall, “Models and Evidence in the Study of Religion in Late Roman Egypt,” in From Temple to Church: Destruction and Renewal of Local Cultic Topography in Late Antiquity, ed. J. Hahn, S. Emmel, and U. Gotter (Religions in the Graeco-Roman World 163, Leiden 2008) 23-41","http://hdl.handle.net/2451/28285","en_US","Brill, Leiden",,"D206",,"Religion||Egypt, late antiquity","Models and Evidence in the Study of Religion in Late Roman Egypt","Article"
"28488","2451/28115","Bagnall, Roger S.||Worp, K. A.","1980",,"588739 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “Chronological Notes on Byzantine Documents VI,” BASP 17 (1980) 27-36","http://hdl.handle.net/2451/28162","en_US","Bulletin of the American Society of Papyrologists",,"D50",,"Papyrology||Byzantine Egypt","Chronological Notes on Byzantine Documents VI","Article"
"28485","2451/28115","Bagnall, Roger S.||Worp, K. A.","1980",,"135470 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “Grain Land in the Oxyrhynchite Nome,” ZPE 37 (1980) 263-64","http://hdl.handle.net/2451/28159","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D47",,"Papyrology||Egypt, late antiquity","Grain Land in the Oxyrhynchite Nome","Article"
"28618","2451/28115","Bagnall, Roger S.","2008",,"733612 bytes","application/pdf","Roger S. Bagnall, “Village landholding at Aphrodito in comparative perspective,” in Les archives de Dioscore d’Aphrodité cent ans après leur découverte, ed. J.-L. Fournet (Paris: De Boccard, 2008) 181-90","http://hdl.handle.net/2451/28286","en_US","De Boccard, Paris",,"D207",,"Landholding||Byzantine Egypt","Village landholding at Aphrodito in comparative perspective","Article"
"28486","2451/28115","Bagnall, Roger S.||Worp, K. A.","1980",,"926699 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “Chronological Notes on Byzantine Documents IV,” BASP 17 (1980) 5-18","http://hdl.handle.net/2451/28160","en_US","Bulletin of the American Society of Papyrologists",,"D48",,"Papyrology||Byzantine Egypt","Chronological Notes on Byzantine Documents IV","Article"
"28623","2451/28115","Bagnall, Roger S.","2000",,"665843 bytes","application/pdf","Roger S. Bagnall, ""'Your Wife in Your Name': P.Oxy. LXII 4340,"" GRBS 39 (1998 [2000]) 157-67","http://hdl.handle.net/2451/28288","en_US","Greek, Roman, and Byzantine Studies",,"D155",,"Papyrology||Roman Egypt","'Your Wife in Your Name': P.Oxy. LXII 4340","Article"
"28487","2451/28115","Bagnall, Roger S.","1980",,"402654 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “Chronological Notes on Byzantine Documents V,” BASP 17 (1980) 19-25","http://hdl.handle.net/2451/28161","en_US","Bulletin of the American Society of Papyrologists",,"D49",,"Papyrology||Byzantine Egypt","Chronological Notes on Byzantine Documents V","Article"
"28489","2451/28115","Bagnall, Roger S.","1980",,"2029559 bytes","application/pdf","Roger S. Bagnall, “Papyrus Documentation in Egypt from Constantine to Justinian,” Miscellanea Papyrologica ed. R. Pintaudi (Pap.Flor. 7, Florence 1980) 105-16","http://hdl.handle.net/2451/28163","en_US","Miscellanea Papyrologica",,"D51",,"Papyrology||Egypt, late antiquity","Papyrus Documentation in Egypt from Constantine to Justinian","Article"
"28490","2451/28115","Bagnall, Roger S.||Worp, K. A.","1980",,"714704 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “Chronological Notes on Byzantine Documents VII,” BASP 17 (1980) 105-16","http://hdl.handle.net/2451/28164","en_US","Bulletin of the American Society of Papyrologists",,"D52",,"Papyrology||Byzantine Egypt","Chronological Notes on Byzantine Documents VII","Article"
"28501","2451/28115","Bagnall, Roger S.||Worp, K. A.","1983",,"1153063 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “Two Fourth-Century Papyri in Bologna,” ZPE 52 (1983) 247-55","http://hdl.handle.net/2451/28175","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D69",,"Papyrology||Egypt, late antiquity","Two Fourth-Century Papyri in Bologna","Article"
"28491","2451/28115","Bagnall, Roger S.","1981",,"209456 bytes","application/pdf","Roger S. Bagnall, “End of a Sale Contract,” Scritti in onore di Orsolina Montevecchi (Bologna 1981) 11-14","http://hdl.handle.net/2451/28165","en_US","Clueb, Bologna",,"D54",,"Papyrology||Byzantine Egypt","End of a Sale Contract","Article"
"28494","2451/28115","Bagnall, Roger S.||Worp, K. A.","1981",,"1082910 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""Christian Invocations in the Papyri: a Supplement,"" Cd'E 56 (1981) 362-65","http://hdl.handle.net/2451/28168","en_US","Christian Invocations in the Papyri: a Supplement",,"D59",,"Papyrology||Byzantine Egypt","Christian Invocations in the Papyri: a Supplement","Article"
"28498","2451/28115","Bagnall, Roger S.","1982",,"1088458 bytes","application/pdf","Roger S. Bagnall, ""Religious Conversion and Onomastic Change,"" BASP 19 (1982) 105-24","http://hdl.handle.net/2451/28172","en_US","Bulletin of the American Society of Papyrologists",,"D65",,"Papyrology||Egypt, late antiquity","Religious Conversion and Onomastic Change","Article"
"28500","2451/28115","Bagnall, Roger S.||Worp, K. A.","1983",,"1407010 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “A Loan of Money: P.Sorb.Inv. 2253,” Archiv für Papyrusforschung 29 (1983) 29-31","http://hdl.handle.net/2451/28174","en_US","Archiv für Papyrusforschung",,"D68",,"Papyrology||Byzantine Egypt","A Loan of Money: P.Sorb.Inv. 2253","Article"
"28492","2451/28115","Bagnall, Roger S.||Worp, K. A.","1981",,"1113904 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""Chronological Notes on Byzantine Documents VIII,"" BASP 18 (1981) 33-54","http://hdl.handle.net/2451/28166","en_US","Bulletin of the American Society of Papyrologists",,"D55",,"Papyrology||Byzantine Egypt","Chronological Notes on Byzantine Documents VIII","Article"
"28493","2451/28115","Bagnall, Roger S.||Worp, K. A.","1981",,"6037474 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""Christian Invocations in the Papyri,"" Cd'E 56 (1981) 112-33","http://hdl.handle.net/2451/28167","en_US","Chronique d’Égypte",,"D58",,"Papyrology||Byzantine Egypt","Christian Invocations in the Papyri","Article"
"28495","2451/28115","Bagnall, Roger S.","1982",,"278207 bytes","application/pdf","Roger S. Bagnall, “Due papiri fiorentini del quarto secolo,” Studia Papyrologica 21 (1982) 87-92","http://hdl.handle.net/2451/28169","it","Studia Papyrologica",,"D61",,"Papyrology||Egypt, late antiquity","Due papiri fiorentini del quarto secolo","Article"
"28502","2451/28115","Bagnall, Roger S.","1983",,"4511168 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “Five Papyri on Fourth-Century Money and Prices,” BASP 20 (1983) 1-19","http://hdl.handle.net/2451/28176","en_US","Bulletin of the American Society of Papyrologists",,"D70",,"Papyrology||Egypt, late antiquity","Five Papyri on Fourth-Century Money and Prices","Article"
"28496","2451/28115","Bagnall, Roger S.||Worp, K. A.","1982",,"398703 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “Papyrus Documentation in the Period of Diocletian and Constantine,” BES 4 (1982) 25-33","http://hdl.handle.net/2451/28170","en_US","Bulletin of the Egyptological Seminar",,"D62",,"Papyrology||Egypt, late antiquity","Papyrus Documentation in the Period of Diocletian and Constantine","Article"
"28497","2451/28115","Bagnall, Roger S.","1982",,"1101156 bytes","application/pdf","Roger S. Bagnall, ""The Population of Theadelphia in the Fourth Century,"" BullSocArchCopte 24 (1982) 35-57","http://hdl.handle.net/2451/28171","en_US","Bulletin de la société d’archéologie copte","D64",,,"Papyrology||Egypt, late antiquity","The Population of Theadelphia in the Fourth Century","Article"
"28499","2451/28115","Bagnall, Roger S.","1982",,"205246 bytes","application/pdf","Roger S. Bagnall, ""Theadelphian Taxes in CPR VI 5,"" BullSocArchCopte 24 (1982) 115-18","http://hdl.handle.net/2451/28173","en_US","Bulletin de la société d’archéologie copte",,"D66",,"Papyrology||Egypt, late antiquity","""Theadelphian Taxes in CPR VI 5","Article"
"28503","2451/28115","Bagnall, Roger S.||Worp, K. A.","1984",,"15291469 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “The Fourth-Century Tax Roll in the Princeton Collection: A Reedition,” Archiv für Papyrusforschung 30 (1984) 53-82","http://hdl.handle.net/2451/28177","en_US","Archiv für Papyrusforschung",,"D71",,"Papyrology||Egypt, late antiquity","The Fourth-Century Tax Roll in the Princeton Collection: A Reedition","Article"
"28510","2451/28115","Bagnall, Roger S.","1985",,"1482966 bytes","application/pdf","Roger S. Bagnall, ""Agricultural Productivity and Taxation in Fourth-Century Egypt,"" TAPA 115 (1985) 290-308","http://hdl.handle.net/2451/28184","en_US","Transactions of American Philological Association",,"D79",,"Papyrology||Egypt, late antiquity","Agricultural Productivity and Taxation in Fourth-Century Egypt","Article"
"28504","2451/28115","Bagnall, Roger S.","1984",,"456951 bytes","application/pdf","Roger S. Bagnall, “Flavius Neaptius, Ghost-Comes Aegypti,” GRBS 25 (1984) 83-85","http://hdl.handle.net/2451/28178","en_US","Greek, Roman, and Byzantine Studies",,"D72",,"Papyrology||Egypt, late antiquity","Flavius Neaptius, Ghost-Comes Aegypti","Article"
"28508","2451/28115","Bagnall, Roger S.","1985",,"522209 bytes","application/pdf","Roger S. Bagnall, ""Publius Petronius, Augustan Prefect of Egypt,"" Yale Classical Studies 28 (1985) 85-93","http://hdl.handle.net/2451/28182","en_US","Yale Classical Studies",,"D77",,"Papyrology||Roman Egypt","Publius Petronius, Augustan Prefect of Egypt","Article"
"28515","2451/28115","Bagnall, Roger S.","1987",,"1781674 bytes","application/pdf","Roger S. Bagnall, ""Church, State and Divorce in Late Roman Egypt,"" in Florilegium Columbianum: Essays in Honor of Paul Oskar Kristeller (New York 1987) 41-61","http://hdl.handle.net/2451/28189","en_US","Italica Press, New York",,"D85",,"Egypt||Late Antiquity","Church, State and Divorce in Late Roman Egypt","Article"
"28505","2451/28115","Bagnall, Roger S.","1984",,"171848 bytes","application/pdf","Roger S. Bagnall, “An Unrecognized Date by the Rebellion of 131 B.C.,” ZPE 56 (1984) 58-60","http://hdl.handle.net/2451/28179","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D73",,"Epigraphy||Hellenistic Egypt","An Unrecognized Date by the Rebellion of 131 B.C.","Article"
"28512","2451/28115","Bagnall, Roger S.","1986",,"1876813 bytes","application/pdf","Roger S. Bagnall, ""Two Byzantine Legal Papyri in a Private Collection,"" Studies in Roman Law in Memory of A. Arthur Schiller (CSCT 13, Leiden 1986) 1-9","http://hdl.handle.net/2451/28186","en_US","Brill, Leiden",,"D81",,"Papyrology||Byzantine Egypt","Two Byzantine Legal Papyri in a Private Collection","Article"
"28513","2451/28115","Bagnall, Roger S.","1986",,"600702 bytes","application/pdf","Roger S. Bagnall, “The Computer and Classical Research,” Classical Views 30 (1986) 53-62","http://hdl.handle.net/2451/28187","en_US","Classical Views",,"D82",,"Classical Studies","The Computer and Classical Research","Article"
"28506","2451/28115","Bagnall, Roger S.||Worp, K. A.","1984",,"668537 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “Further Chronological Notes on Byzantine Documents,” ZPE 56 (1984) 127-36","http://hdl.handle.net/2451/28180","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D74",,"Papyrology||Byzantine Egypt","Further Chronological Notes on Byzantine Documents","Article"
"28507","2451/28115","Bagnall, Roger S.||Worp, K. A.","1984",,"3003713 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, “Three Papyri from Fourth-Century Karanis,” Cd’E 59 (1984) 301-11","http://hdl.handle.net/2451/28181","en_US","Chronique d’Égypte",,"D75",,"Papyrology||Egypt, late antiquity","Three Papyri from Fourth-Century Karanis","Article"
"28509","2451/28115","Bagnall, Roger S.||Worp, K. A.","1985",,"240250 bytes","application/pdf","Roger S. Bagnall and K. A. Worp, ""Two Nominations of Goldsmiths to Collect Taxes,"" ZPE 59 (1985) 67-70","http://hdl.handle.net/2451/28183","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D78",,"Papyrology||Byzantine Egypt","Two Nominations of Goldsmiths to Collect Taxes","Article"
"28649","2451/28115","Bagnall, Roger S.||Sijpesteijn, P. J.","1969",,"1262904 bytes","application/pdf","Roger S. Bagnall and P.J. Sijpesteijn, ""Notes on the Leiden Ostraca,"" BASP 6 (1969) 65-72","http://hdl.handle.net/2451/28305","en_US","Bulletin of the American Society of Papyrologists",,"D5",,"Epigraphy","Notes on the Leiden Ostraca, II","Article"
"28511","2451/28115","Bagnall, Roger S.","1985",,"367394 bytes","application/pdf","Roger S. Bagnall, ""The Camel, the Wagon, and the Donkey in Later Roman Egypt,"" BASP 22 (1985) 1-6","http://hdl.handle.net/2451/28185","en_US","Bulletin of the American Society of Papyrologists",,"D80",,"Papyrology||Egypt, late antiquity","The Camel, the Wagon, and the Donkey in Later Roman Egypt","Article"
"28650","2451/28115","Bagnall, Roger S.","1972",,"988912 bytes","application/pdf","Roger S. Bagnall, ""Stolos the Admiral,"" Phoenix 26 (1972) 358-68","http://hdl.handle.net/2451/28306","en_US","Phoenix",,"D8",,"Hellenistic Egypt","Stolos the Admiral","Article"
"28514","2451/28115","Bagnall, Roger S.","1986",,"1854410 bytes","application/pdf","Roger S. Bagnall, ""Papyri and Ostraka from Quseir al-Qadim,"" BASP 23 (1986) 1-60","http://hdl.handle.net/2451/28188","en_US","Bulletin of the American Society of Papyrologists",,"D84",,"Papyrology||Epigraphy||Egypt Late Antiquity","Papyri and Ostraka from Quseir al-Qadim","Article"
"28516","2451/28115","Bagnall, Roger S.||Harris, Carolyn L.","1987",,"944038 bytes","application/pdf","Roger S. Bagnall and Carolyn L. Harris, “Involving Scholars in Preservation Decisionmaking: the Case of the Classicists,” Journal of Academic Librarianship 13 (1987) 140-46","http://hdl.handle.net/2451/28190","en_US","Journal of Academic Librarianship",,"D86",,"Library science||Classical studies","Involving Scholars in Preservation Decisionmaking: the Case of the Classicists","Article"
"28517","2451/28115","Bagnall, Roger S.","1987",,"675751 bytes","application/pdf","Roger S. Bagnall, “Conversion and Onomastics: A Reply,” ZPE 69 (1987) 243-50","http://hdl.handle.net/2451/28191","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D87",,"Papyrology||Egypt, late antiquity||Christianity","Conversion and Onomastics: A Reply","Article"
"28518","2451/28115","Bagnall, Roger S.","1988",,"591489 bytes","application/pdf","Roger S. Bagnall, “Roman Egypt, Later”, in Dictionary of the Middle Ages 10 (1988) 453-56","http://hdl.handle.net/2451/28192","en_US","Scribner, New York",,"D88",,"Papyrology||Egypt, late antiquity","Roman Egypt, Later","Article"
"28519","2451/28115","Bagnall, Roger S.","1988",,"677352 bytes","application/pdf","Roger S. Bagnall, “Restoring the Text of Documents,” TEXT 4 (1988) 109-19","http://hdl.handle.net/2451/28193","en_US","Transactions of the Society for Textual Scholarship",,"D90",,"Papyrology||Egypt||Methodology","Restoring the Text of Documents","Article"
